 &plot nbnd=  13, nks=    99 /
   32.670   34.937   35.953
            0.040000  0.040000  0.040000
  -75.443  -38.842  -38.840  -38.840    9.016   11.802   11.827   11.827   12.773   12.773
   32.687   35.436   35.948
            0.020000  0.020000  0.020000
  -75.443  -38.841  -38.840  -38.840    8.979   11.810   11.817   11.817   12.777   12.777
   32.687   35.804   35.944
            0.000000  0.000000  0.000000
  -75.443  -38.840  -38.840  -38.840    8.967   11.813   11.813   11.813   12.778   12.778
   32.686   35.942   35.942
            0.034483  0.000000  0.000000
  -75.443  -38.840  -38.840  -38.840    8.979   11.809   11.818   11.818   12.774   12.780
   32.687   35.883   35.903
            0.068966  0.000000  0.000000
  -75.443  -38.842  -38.841  -38.841    9.015   11.795   11.830   11.830   12.760   12.786
   32.691   35.718   35.787
            0.103448  0.000000  0.000000
  -75.442  -38.844  -38.841  -38.841    9.076   11.772   11.852   11.852   12.737   12.796
   32.698   35.477   35.598
            0.137931  0.000000  0.000000
  -75.442  -38.846  -38.842  -38.842    9.159   11.741   11.881   11.881   12.707   12.810
   32.707   35.193   35.340
            0.172414  0.000000  0.000000
  -75.442  -38.850  -38.844  -38.844    9.265   11.702   11.919   11.919   12.670   12.827
   32.718   34.889   35.023
            0.206897  0.000000  0.000000
  -75.441  -38.854  -38.845  -38.845    9.392   11.655   11.965   11.965   12.628   12.848
   32.732   34.581   34.657
            0.241379  0.000000  0.000000
  -75.440  -38.858  -38.847  -38.847    9.539   11.602   12.019   12.019   12.583   12.872
   32.747   34.251   34.251
            0.275862  0.000000  0.000000
  -75.440  -38.864  -38.849  -38.849    9.702   11.542   12.080   12.080   12.538   12.899
   32.764   33.816   33.816
            0.310345  0.000000  0.000000
  -75.439  -38.869  -38.852  -38.852    9.879   11.478   12.148   12.148   12.499   12.928
   32.782   33.361   33.361
            0.344828  0.000000  0.000000
  -75.438  -38.876  -38.854  -38.854   10.063   11.409   12.224   12.224   12.470   12.960
   32.802   32.893   32.893
            0.379310  0.000000  0.000000
  -75.437  -38.882  -38.857  -38.857   10.246   11.337   12.305   12.305   12.462   12.995
   32.419   32.419   32.822
            0.413793  0.000000  0.000000
  -75.436  -38.889  -38.860  -38.860   10.417   11.263   12.392   12.392   12.485   13.031
   31.944   31.944   32.843
            0.448276  0.000000  0.000000
  -75.435  -38.896  -38.862  -38.862   10.563   11.188   12.485   12.485   12.556   13.068
   31.473   31.473   32.515
            0.482759  0.000000  0.000000
  -75.434  -38.903  -38.865  -38.865   10.670   11.112   12.581   12.581   12.686   13.106
   31.010   31.010   32.088
            0.517241  0.000000  0.000000
  -75.433  -38.910  -38.868  -38.868   10.734   11.036   12.681   12.681   12.882   13.144
   30.559   30.559   31.544
            0.551724  0.000000  0.000000
  -75.432  -38.917  -38.871  -38.871   10.756   10.962   12.784   12.784   13.142   13.183
   30.123   30.123   30.893
            0.586207  0.000000  0.000000
  -75.431  -38.924  -38.874  -38.874   10.746   10.890   12.888   12.888   13.221   13.457
   29.704   29.704   30.169
            0.620690  0.000000  0.000000
  -75.430  -38.931  -38.877  -38.877   10.713   10.821   12.992   12.992   13.258   13.818
   29.306   29.306   29.406
            0.655172  0.000000  0.000000
  -75.429  -38.938  -38.879  -38.879   10.667   10.756   13.094   13.094   13.294   14.215
   28.629   28.932   28.932
            0.689655  0.000000  0.000000
  -75.428  -38.944  -38.882  -38.882   10.613   10.695   13.194   13.194   13.328   14.641
   27.852   28.583   28.583
            0.724138  0.000000  0.000000
  -75.427  -38.949  -38.884  -38.884   10.556   10.639   13.290   13.290   13.360   15.090
   27.086   28.262   28.262
            0.758621  0.000000  0.000000
  -75.427  -38.954  -38.886  -38.886   10.500   10.588   13.380   13.380   13.389   15.556
   26.339   27.972   27.972
            0.793103  0.000000  0.000000
  -75.426  -38.959  -38.888  -38.888   10.448   10.543   13.415   13.463   13.463   16.030
   25.619   27.715   27.715
            0.827586  0.000000  0.000000
  -75.426  -38.963  -38.890  -38.890   10.401   10.504   13.437   13.536   13.536   16.505
   24.936   27.493   27.493
            0.862069  0.000000  0.000000
  -75.425  -38.966  -38.891  -38.891   10.361   10.472   13.456   13.598   13.598   16.966
   24.305   27.309   27.309
            0.896552  0.000000  0.000000
  -75.425  -38.969  -38.892  -38.892   10.328   10.446   13.471   13.649   13.649   17.392
   23.746   27.163   27.163
            0.931034  0.000000  0.000000
  -75.424  -38.970  -38.893  -38.893   10.304   10.428   13.482   13.685   13.685   17.752
   23.291   27.058   27.058
            0.965517  0.000000  0.000000
  -75.424  -38.972  -38.893  -38.893   10.290   10.417   13.489   13.708   13.708   18.000
   22.985   26.994   26.994
            1.000000  0.000000  0.000000
  -75.424  -38.972  -38.894  -38.894   10.285   10.414   13.491   13.715   13.715   18.091
   22.876   26.973   26.973
            1.000000  0.000000  0.035714
  -75.424  -38.972  -38.894  -38.894   10.292   10.420   13.484   13.691   13.715   18.126
   22.878   26.926   26.927
            1.000000  0.000000  0.071429
  -75.424  -38.971  -38.895  -38.894   10.312   10.438   13.464   13.622   13.715   18.228
   22.883   26.793   26.794
            1.000000  0.000000  0.107143
  -75.424  -38.970  -38.896  -38.894   10.346   10.468   13.432   13.512   13.716   18.391
   22.892   26.583   26.592
            1.000000  0.000000  0.142857
  -75.424  -38.968  -38.897  -38.894   10.391   10.510   13.372   13.388   13.716   18.607
   22.905   26.311   26.347
            1.000000  0.000000  0.178571
  -75.424  -38.966  -38.900  -38.894   10.448   10.564   13.208   13.333   13.716   18.867
   22.922   25.989   26.078
            1.000000  0.000000  0.214286
  -75.424  -38.963  -38.902  -38.894   10.514   10.629   13.030   13.268   13.716   19.164
   22.943   25.630   25.802
            1.000000  0.000000  0.250000
  -75.424  -38.961  -38.905  -38.894   10.587   10.707   12.842   13.196   13.716   19.490
   22.970   25.245   25.532
            1.000000  0.000000  0.285714
  -75.424  -38.957  -38.908  -38.894   10.666   10.796   12.650   13.118   13.716   19.840
   23.000   24.840   25.276
            1.000000  0.000000  0.321429
  -75.424  -38.954  -38.912  -38.894   10.745   10.897   12.457   13.040   13.716   20.211
   23.035   24.422   25.042
            1.000000  0.000000  0.357143
  -75.424  -38.950  -38.916  -38.894   10.822   11.009   12.266   12.963   13.716   20.598
   23.073   23.994   24.836
            1.000000  0.000000  0.392857
  -75.424  -38.946  -38.920  -38.894   10.891   11.132   12.080   12.895   13.716   20.998
   23.111   23.561   24.664
            1.000000  0.000000  0.428571
  -75.424  -38.942  -38.924  -38.894   10.946   11.266   11.901   12.840   13.716   21.410
   23.126   23.145   24.533
            1.000000  0.000000  0.464286
  -75.424  -38.937  -38.928  -38.894   10.982   11.411   11.729   12.804   13.716   21.831
   22.691   23.170   24.450
            1.000000  0.000000  0.500000
  -75.424  -38.933  -38.933  -38.894   10.995   11.565   11.565   12.791   13.716   22.259
   22.259   23.178   24.421
            0.975000  0.000000  0.525000
  -75.424  -38.936  -38.930  -38.894   10.991   11.456   11.679   12.797   13.712   21.969
   22.398   23.272   24.513
            0.950000  0.000000  0.550000
  -75.424  -38.939  -38.928  -38.893   10.977   11.355   11.796   12.813   13.699   21.703
   22.321   23.398   24.834
            0.925000 -0.000000  0.575000
  -75.424  -38.941  -38.926  -38.892   10.951   11.269   11.915   12.837   13.677   21.464
   22.182   23.437   25.344
            0.900000 -0.000000  0.600000
  -75.424  -38.943  -38.924  -38.890   10.912   11.203   12.033   12.866   13.647   21.251
   22.037   23.428   25.948
            0.875000  0.000000  0.625000
